text,weight
Yes. Also hydrate.,14
Signs point to: maybe. Check the wind.,13
Ask again after a nap in the shade.,13
Consent says: ask clearly, then try again.,12
Trust the playa. Not the plan.,12
It’s a yes if you bring snacks.,12
The answer is in your cooler.,11
You already know. You’re stalling.,11
Do it, but label your cables first.,11
Proceed… with a headlamp.,11
Not today. The sun is judging you.,10
The universe says yes, your feet say no.,10
Your campmates will say “sure” and mean “no.”,10
Flip a coin, then ignore it.,10
The porto-potties say: reconsider.,9
Only if you’re willing to carry it back.,9
Your future self will laugh. Do it anyway.,9
Yes, but bring earplugs.,9
Maybe. Consult the nearest art car.,9
If it sparkles, it’s probably fine.,9
Try again after you’ve eaten something real.,9
The dust says “lol.”,8
The answer is: duct tape.,8
If you have to ask… it’s a yes.,8
Your vibe is correct; your timing is cursed.,8
It will work. Briefly.,8
Yes, but at 2:37am exactly.,7
You’ll forget. Set an alarm.,7
No. But it’ll make a great story.,7
The lampshade oracle says: dimmer.,7
Ask the person with the radio.,7
Probability favors the bold (and the sunscreened).,7
Absolutely not. Unless it’s art.,6
The Temple says: be gentle.,6
The Playa provides… later.,6
Too many variables. Add more LEDs.,6
Not unless you secure it with two ratchet straps.,6
No. Please stop.,5
Hard no. Respectfully.,5
Your ex is somewhere nearby. Don’t.,5
The sound camp is about to drop. Wait.,5
No, because you didn’t test it at home.,5
Yes, but only if you share it.,4
Rare but possible. Like finding your friend on 2% battery.,4
It’s a yes, but you must tip the ice runner.,4
The oracle demands glitter tax.,3
Do it. Yell “SCIENCE!” first.,3
This is the moment you become a legend.,2
The man in the tutu approves.,2
A stranger will hand you exactly what you need.,2
The Playa says yes. The city says no.,2
You are the chosen one (for this dumb job).,1
Cosmic green light. Full send.,1
